"BARRIO","promedio_accidente_mes","cluster"
"area de expansion belen rincon",1,2
"aures no.2",1,2
"barrios de jesus",1,2
"batallon girardot",1,2
"corregimiento de santa elena",1,2
"el corazon el morro ",1,2
"el picacho",1,2
"el plan",1,2
"el uvito",1,2
"el vergel",1,2
"la oculta",1,2
"manrique central no.2",1,2
"maria cano carambolas",1,2
"mirador del doce",1,2
"moscu no.2",1,2
"pedregal bajo",1,2
"potrerito",1,2
"san antonio",1,2
"san jose de la montana",1,2
"san jose la cima no.2",1,2
"santa rosa de lima",1,2
"santo domingo savio no.1",1,2
"sin nombre",1,2
"suburbano el tesoro",1,2
"suburbano palmitas",1,2
"suburbano pedregal alto",1,2
"versalles no.1",1,2
"villa lilliam",1,2
"volcana guayabal",1,2
"manrique central no.1",1.16666666666667,2
"eduardo santos",1.2,2
"juan pablo ii",1.2,2
"la loma de los bernal",1.25,2
"metropolitano",1.25,2
"san jose la cima no. 1",1.25,2
"area de expansion altavista",1.28571428571429,2
"pedregal alto",1.3,2
"la sierra",1.33333333333333,2
"miravalle",1.375,2
"el triunfo",1.4,2
"bombona no.1",1.42857142857143,2
"llanaditas",1.42857142857143,2
"el socorro",1.5,2
"piedras blancas represa",1.5,2
"suburbano el llano",1.5,2
"trece de noviembre",1.5,2
"campo valdes no.2",1.57142857142857,2
"la loma oriental",1.57142857142857,2
"las independencias",1.57142857142857,2
"versalles no. 2",1.57142857142857,2
"carpinelo",1.58333333333333,2
"media luna",1.6,2
"villa turbay",1.6,2
"suburbano altavista",1.625,2
"yolombo",1.625,2
"pablo vi",1.71428571428571,2
"betania",1.72727272727273,2
"aguas frias",1.75,2
"buga patio bonito",1.75,2
"la cruz",1.75,2
"suburbano palma patio",1.75,2
"la verde ",1.77777777777778,2
"auc1",1.83333333333333,2
"el progreso no.2",1.83333333333333,2
"ocho de marzo",1.85714285714286,2
"blanquizal",1.9,2
"aldea pablo vi",2,2
"altavista sector central",2,2
"nuevos conquistadores",2,2
"picachito",2,2
"plaza de ferias",2,2
"suburbano chacaltaya",2,2
"suburbano mirador del poblado",2,2
"el corazon",2.11111111111111,2
"area de expansion san antonio de prado",2.14285714285714,2
"area de expansion altos de calasanz",2.18181818181818,2
"oriente",2.2,2
"la ladera",2.25,2
"santo domingo savio no. 2",2.25,2
"villa liliam",2.25,2
"barrio cristobal",2.33333333333333,2
"piedras blancas",2.33333333333333,2
"suburbano travesias",2.33333333333333,2
"lalinde",2.36363636363636,2
"monteclaro",2.55555555555556,2
"facultad veterinaria y zootecnia u.de.a.",2.6,2
"antonio narino",2.63636363636364,2
"belencito",2.66666666666667,2
"bermejal-los alamos",2.66666666666667,2
"asomadera no. 3",2.75,2
"el rodeo",2.75,2
"pajarito",2.75,2
"la esperanza no. 2",2.8,2
"u.p.b.",2.8,2
"nueva villa de aburra",2.81818181818182,2
"hospital san vicente de paul",2.83333333333333,2
"juan xxiii la quiebra",2.875,2
"el salado",3,2
"los cerros el vergel",3,2
"inst",3.09090909090909,2
"la avanzada",3.09090909090909,2
"el diamante no. 2",3.1,2
"fuente clara",3.1,2
"jardin botanico",3.16666666666667,2
"la isla",3.16666666666667,2
"el compromiso",3.18181818181818,2
"parque norte",3.3,2
"las esmeraldas",3.41666666666667,2
"villa niza",3.45454545454545,2
"b. cerro  el volador",3.54545454545455,2
"la frontera",3.54545454545455,2
"andalucia",3.58333333333333,2
"altos del poblado",3.81818181818182,2
"la francia",3.83333333333333,2
"el pesebre",3.91666666666667,2
"ferrini",3.91666666666667,2
"olaya herrera",3.91666666666667,2
"santa lucia",3.91666666666667,2
"las estancias",4,2
"san javier no.2",4,2
"cataluna",4.25,2
"centro administrativo",4.25,2
"la hondonada",4.27272727272727,2
"moscu no. 2",4.36363636363636,2
"altavista",4.41666666666667,2
"la mansion",4.41666666666667,2
"la rosa",4.41666666666667,2
"u.d. atanasio girardot",4.5,2
"el castillo",4.58333333333333,2
"los balsos no.1",4.58333333333333,2
"astorga",4.66666666666667,2
"la pradera",4.75,2
"san lucas",4.90909090909091,2
"suburbano la loma",4.91666666666667,2
"bello horizonte",5,2
"cementerio universal",5,2
"san pablo",5,2
"bosques de san pablo",5.08333333333333,2
"veinte de julio",5.08333333333333,2
"barrio de jesus",5.16666666666667,2
"granizal",5.16666666666667,2
"la libertad",5.16666666666667,2
"la mota",5.16666666666667,2
"santa teresita",5.18181818181818,2
"las violetas",5.25,2
"bombona no. 2",5.33333333333333,2
"las lomas no.2",5.33333333333333,2
"loma de los bernal",5.33333333333333,2
"santa monica",5.33333333333333,2
"florencia",5.41666666666667,2
"el danubio",5.5,2
"la pinuela",5.5,2
"las mercedes",5.5,2
"aranjuez",5.58333333333333,2
"moscu no. 1",5.83333333333333,2
"diego echavarria",5.91666666666667,2
"palenque",5.91666666666667,2
"santa cruz",5.91666666666667,2
"el pomar",6,2
"playon de los comuneros",6.16666666666667,2
"la colina",6.33333333333333,2
"versalles no. 1",6.41666666666667,2
"el nogal-los almendros",6.5,2
"los alcazares",6.5,2
"simon bolivar",6.5,2
"los alpes",6.58333333333333,2
"calasanz parte alta",6.66666666666667,2
"popular",6.75,2
"villa guadalupe",6.75,2
"granada",6.83333333333333,2
"gerona",6.91666666666667,2
"santa margarita",7.08333333333333,1
"villa del socorro",7.08333333333333,2
"el pinal",7.5,2
"nueva villa de la iguana",7.5,2
"las playas",7.66666666666667,2
"los mangos",7.75,2
"santo domingo savio no. 1",7.75,1
"la milagrosa",7.83333333333333,2
"francisco antonio zea",7.91666666666667,2
"manrique central no. 2",8,2
"la palma",8.16666666666667,2
"el raizal",8.25,1
"los naranjos",8.25,2
"brasilia",8.33333333333333,2
"villatina",8.33333333333333,2
"aures no.1",8.41666666666667,1
"miraflores",8.41666666666667,2
"el salvador",8.5,2
"asomadera no. 2",8.66666666666667,2
"la salle",8.66666666666667,1
"santander",8.66666666666667,1
"cabecera urbana san cristobal",9,1
"campo alegre",9.08333333333333,1
"palermo",9.08333333333333,1
"la castellana",9.16666666666667,2
"cordoba",9.41666666666667,1
"villa hermosa",9.41666666666667,1
"santa ines",9.58333333333333,1
"belalcazar",9.66666666666667,2
"doce de octubre no.2",9.66666666666667,1
"doce de octubre no.1",9.75,1
"los balsos no.2",9.75,2
"altamira",9.91666666666667,1
"la pilarica",9.91666666666667,1
"las lomas no.1",9.91666666666667,2
"sucre",10,1
"la esperanza",10.1666666666667,1
"san javier no.1",10.25,1
"enciso",10.3333333333333,1
"las palmas",10.3333333333333,1
"loreto",10.4166666666667,1
"asomadera no. 1",10.5833333333333,2
"aures no. 2",10.5833333333333,1
"alejandria",10.75,2
"san joaquin",10.75,1
"el velodromo",10.9166666666667,2
"san martin de porres",10.9166666666667,1
"la floresta",11.25,1
"area de expansion pajarito",11.4166666666667,1
"el tesoro",11.5833333333333,2
"san miguel",11.5833333333333,1
"picacho",12.1666666666667,1
"berlin",12.3333333333333,1
"boyaca",12.3333333333333,1
"parque juan pablo ii",12.5,1
"calasanz",12.6666666666667,1
"el rincon",12.6666666666667,1
"campo valdes no. 2",12.8333333333333,1
"barrio caicedo",12.9166666666667,1
"florida nueva",13,1
"tejelo",13.0833333333333,1
"girardot",13.1666666666667,1
"manrique oriental",13.4166666666667,1
"buenos aires",13.5833333333333,1
"lorena",13.9166666666667,1
"oleoducto",14,1
"cucaracho",14.1666666666667,1
"la gloria",14.1666666666667,1
"miranda",14.1666666666667,1
"san german",14.5833333333333,1
"santa maria de los angeles",14.5833333333333,1
"villa flora",14.6666666666667,1
"alejandro echavarria",14.75,1
"san pedro",14.75,1
"el diamante",14.8333333333333,1
"bolivariana",14.9166666666667,1
"las granjas",14.9166666666667,1
"tenche",14.9166666666667,1
"las brisas",15,1
"los pinos",15.25,1
"la florida",15.3333333333333,1
"pedregal",15.4166666666667,1
"alfonso lopez",15.5,1
"trinidad",15.5,1
"kennedy",15.6666666666667,1
"robledo",15.75,1
"san bernardo",15.75,1
"bombona no. 1",16.1666666666667,1
"los angeles",16.3333333333333,1
"la america",16.5,1
"el estadio",16.5833333333333,1
"lopez de mesa",16.5833333333333,1
"universidad de antioquia",16.8333333333333,1
"patio bonito",17.0833333333333,1
"tricentenario",17.1666666666667,1
"san isidro",17.3333333333333,1
"fatima",18.0833333333333,1
"hector abad gomez",18.1666666666667,1
"cuarta brigada",18.25,1
"facultad de minas u. nacional",18.9166666666667,1
"barrio colombia",19.0833333333333,1
"manrique central no. 1",19.0833333333333,1
"toscana",19.4166666666667,1
"campo valdes no. 1",19.5,1
"sevilla",19.6666666666667,1
"moravia",20.4166666666667,1
"castropol",20.8333333333333,1
"cerro nutibara",20.8333333333333,4
"estacion villa",22.0833333333333,1
"las acacias",22.4166666666667,4
"universidad nacional",22.5,1
"laureles",23,1
"cristo rey",24.5,4
"suramericana",26,1
"rosales",26.0833333333333,1
"el poblado",26.3333333333333,1
"calle nueva",26.8333333333333,4
"el chagualo",26.9166666666667,4
"la aguacatala",28,4
"guayabal",28.8333333333333,1
"prado",29,4
"manila",29.75,4
"jesus nazareno",31.0833333333333,3
"el progreso",34.1666666666667,4
"boston",35.5,4
"corazon de jesus",36.75,4
"belen",37.9166666666667,4
"los colores",38,3
"naranjal",40.8333333333333,4
"villa carlota",40.9166666666667,4
"la alpujarra",41.0833333333333,4
"terminal de transporte",41.9166666666667,4
"castilla",43.6666666666667,3
"guayaquil",44.5833333333333,4
"san diego",45.25,4
"carlos e. restrepo",45.5,4
"villa nueva",45.6666666666667,4
"san benito",48.1666666666667,3
"cabecera san antonio de prado",49.6666666666667,3
"los conquistadores",58.6666666666667,3
"santa fe",59.6666666666667,3
"barrio colon",62.25,3
"perpetuo socorro",66.4166666666667,3
"caribe",68,3
"la candelaria",82.4166666666667,3
"campo amor",83.1666666666667,3
